word	pronunciation	occurrences	mean length of utterance
acceptable	ae k s eh p t ah b el	1	0.661
acceptable	ah k s eh p t uw b ah l	1	0.717
acceptable	eh k s eh p t ah b ah l	1	0.59
acceptable	ih k s eh p t ah b el	2	0.558
acceptable	ih k s eh p t ih b ah l	1	0.597
acceptable	ih k s eh t ih b el	1	0.702
acceptance	ae k s eh p t ah n t s	1	0.677
acceptance	ey k s eh p t ah n s	1	0.556
accepted	ah k s ah t ih dx	1	0.51
accepted	ah s eh p s ih	1	0.364
accepted	eh k s eh p t eh d	1	0.861
accepted	er k s eh p t ih d	1	0.577
accepted	ih k s eh p d ih d	1	0.49
accepted	ih k s eh p t ih d	2	0.539
accepted	ih k s eh p t ih d dh	1	0.53
accepting	ey k s eh p t iy ng	1	0.668
accepting	ih k s eh p t ih ng	1	0.532
access	ae k s ae s	1	0.782
access	ae k s ah s	6	0.505166666666667
access	ae k s eh s	9	0.497777777777778
access	ae k s ih s	1	0.422
accesses	ae k s eh s ih z	1	0.596
accessible	ae k s eh s ah v el	1	0.484
accessible	ae k s eh s ih b ao l	1	0.6
accessible	eh k s eh s ah b el	1	0.554
accessible	ih k s eh s ah b el	1	0.587
accident	ae k s ah d eh n tq	1	0.558
accident	ae k s d ihn tq	1	0.433
accident	ae k s d ih n tq	1	0.545
accident	ae k s d ih tq	1	0.421
accident	ae k s ih d eh n	3	0.491333333333333
accident	ae k s ih d iy tq	1	0.462
accident	ae k s ih dx ehn	1	0.543
accident	ae k s ih dx eh nx	1	0.596
accident	ae k s ih n eh tq	1	0.573
accidental	ae k s ih d eh nx ah	1	0.423
accidental	ae k s uh d eh nx el	1	0.791
accidentally	ae k s d ehn ah l ih	1	0.44
accidentally	ae k s d eh nx ah l ih	1	0.623
accidentally	ae k s ih d eh nx el l iy	1	0.641
accidentally	ae k s ih dx eh n el l iy	1	0.849
accidentally	eh k s d ehn el l iy	1	0.632
accidents	ae k s ih dx en s	1	0.574
accidents	ae k s ih dx ihn t s	1	0.678
accidents	ae k s ih n s	1	0.396
accommodate	ah k aa m ah d ey tq	1	0.598
accommodate	eh k aa m d ey t	1	0.538
accomplish	ah k aa m p l ih sh	1	0.442
accomplish	ih k aa m p l ih sh	1	0.627
accomplish	k aa m p l ih sh	1	0.468
accomplish	k aa m p uh sh	1	0.574
accomplished	ah k aa m p l ih sh	1	0.728
accomplished	ih k aa m p l uw sh t	1	0.461
accomplished	k aa m p l ih sh t	1	0.894
accomplishing	ah k aa m p l ih sh ih ng	2	0.629
accord	ah k ao r d	2	0.538
accord	ih k ao r d	1	0.445
accordance	k ow r d en s	1	0.499
according	ah k ao r dx ih ng	2	0.4325
according	ah k ao r ih n	1	0.27
according	ih k ao r dx ih ng	1	0.42
according	k ao r d ih n	1	0.511
accordingly	ah k ao r ih ng l iy	1	0.55
account	ah k aw n	1	0.413
account	ay k aw n	1	0.521
account	eh k aw tq	1	0.425
account	ih k aw tq	1	0.432
account	uh k aw tq	1	0.332
accountable	ah k aw nx ah b el	1	0.55
accounting	ah k aw iy	1	0.371
accounting	ah k aw n iy ng	1	0.405
accounting	ah k aw nx ih ng	1	0.481
accounting	ah k aw nx iy ng	1	0.397
accounting	eh k aw n ih	1	0.363
accounting	eh k aw n ih ng	1	0.447
accounting	eh k aw nx ih ng	1	0.383
accounting	ih k aw nx ih ng	1	0.475
accounting	ih k aw nx iy ng	2	0.519
accounting	k aa nx ih ng	1	0.3
accounts	ah k aw n s	1	0.29
accounts	ey k aw n t s	1	0.561
accredited	ah k r eh d ih d	1	0.535
accredited	k r eh dx ih d	1	0.535
accumulate	ih k y uw m y ih l ey tq	1	0.749
accumulated	ih k ih m el ey dx ih d	1	0.67
accumulated	ih k y uw m y ah l ey dx ih d	1	0.836
accurate	ae k y er eh tq	2	0.477
accurately	ae k r ih t l iy	1	0.33
accused	ah k uw z	1	0.529
accused	ah k y uw z	1	0.302
accustomed	ah k ah s t ah m d	1	0.339
ache	ey k	1	0.145
achieve	ah ch iy v	3	0.313
achievement	ih ch iy v m eh n	1	0.416
achievement	ih ch iy v m ih n	2	0.3825
achievers	ch iy v er s	1	0.518
acid	ae s ih d	1	0.606
acknowledge	ih k n aa l ih jh	1	0.418
acknowledged	ih k n aa l ih ch d	1	0.681
acoustic	ah k uw s t ih k	1	0.645
acoustically	ah k uw s t ah k l iy	1	0.62
acoustics	ah k uw s t ih k s	2	0.6605
acquaintance	ah k w ey en s	1	0.484
acquaintances	k w ey en s ih z	1	0.457
acquainted	ah k w ey en	1	0.388
acre	ey k ah r	1	0.21
acres	ey k ah r z	1	0.417
acres	ey k er s	1	0.539
acres	ey k er z	2	0.448
across	ah k r aa s	3	0.398333333333333
across	ah k r ah s	1	0.303
across	ah k r ao s	17	0.404647058823529
across	ah k r ao s t	2	0.4905
across	ih k r aa s	2	0.408
across	ih k r ah s	1	0.323
across	ih k r ao s	8	0.3525
across	k r aa s	2	0.304
across	k r ao s	3	0.313666666666667
across	uh k r aa s	1	0.461
across	uh k r ao s	1	0.476
act	ae k	4	0.20275
act	ae k t	11	0.326090909090909
acted	ae k t ih dx	1	0.381
acting	ae k en	2	0.2985
acting	ae k t ih n	2	0.433
acting	ae k t ih ng	4	0.45825
acting	ae k t iy ng	1	0.494
action	ae k sh ah n	2	0.509
action	ae k sh en	3	0.322
action	ae k sh ih m	1	0.351
action	ae k sh ih n	5	0.5006
actions	ae k sh ih n z	1	0.34
activate	ae t ih v ey tq	1	0.269
active	ae k t ah v	1	0.286
active	ae k t ih f	1	0.644
active	ae k t ih v	18	0.440333333333333
actively	ae k t ah v l iy	1	0.475
activism	ae k t ih v ih z ah m	1	0.712
activist	ae k d ih v ih s t	1	0.732
activists	ae k t ih v ih s	1	0.632
activities	ae k t ih v ih d iy z	2	0.6535
activities	ae k t ih v ih dx iy s	1	0.649
activities	ae k t ih v ih dx iy z	5	0.679
activities	ae k t ih v t iy z	1	0.761
activities	ae tq k ih v ih dx iy z	1	0.536
activity	ae k t ih v ah d iy	1	0.514
activity	ae k t ih v ih d iy	1	0.515
activity	ae k t ih v ih dx iy	6	0.592
activity	ae k t ih v iy	1	0.409
actor	ae k t er	1	0.396
actors	ae k t er z	3	0.583666666666667
acts	ae k s	2	0.279
acts	ae k t s	1	0.26
actual	ae ch uh el	1	0.339
actual	ae g sh uw el	1	0.505
actual	ae k ch ah l	1	0.408
actual	ae k ch uw ah l	1	0.384
actual	ae k sh ah l	1	0.403
actual	ae k sh el	4	0.43225
actual	ae k sh uh l	1	0.425
actual	ae k sh uw el	2	0.3475
actual	ae k sh uw ow l	1	0.525
actual	ae k sh w el	1	0.678
actual	ae k sh w uh l	1	0.392
actually	ae ch ah l iy	1	0.26
actually	ae ch l ih	1	0.281
actually	ae ch l iy	2	0.29
actually	ae ch uh l iy	2	0.255
actually	ae ch uw ah l iy	1	0.337
actually	ae g sh l iy	3	0.304
actually	ae k ch ah l iy	3	0.410666666666667
actually	ae k ch ih	1	0.322
actually	ae k ch l iy	7	0.364142857142857
actually	ae k ch uw	1	0.44
actually	ae k ch uw ah l iy	4	0.46525
actually	ae k ch uw l iy	2	0.5175
actually	ae k s ah	1	0.238
actually	ae k sh	1	0.218
actually	ae k sh ah l iy	10	0.5361
actually	ae k sh el	1	0.401
actually	ae k sh el ey	1	0.336
actually	ae k sh el iy	16	0.49725
actually	ae k sh el l iy	5	0.625
actually	ae k sh ih	5	0.3026
actually	ae k sh iy	11	0.327909090909091
actually	ae k sh l ah	1	0.332
actually	ae k sh l eh	1	0.458
actually	ae k sh l ey	2	0.471
actually	ae k sh l ih	18	0.335111111111111
actually	ae k sh l iy	129	0.406108527131783
actually	ae k sh l uh	2	0.321
actually	ae k sh uh l iy	3	0.424333333333333
actually	ae k sh uw ah l iy	1	0.42
actually	ae k sh uw el l ey	1	0.614
actually	ae k sh uw l iy	3	0.489333333333333
actually	ae k s ih	2	0.2795
actually	ae k s l ih	3	0.326666666666667
actually	ae k s l iy	3	0.379333333333333
actually	ae sh ah	1	0.33
actually	ae sh ah l iy	1	0.28
actually	ae sh iy	2	0.2315
actually	ae sh k l iy	1	0.326
actually	ae sh l iy	8	0.392375
actually	ae sh uh l iy	2	0.429
actually	ae s l eh	1	0.324
actually	ah k ch iy	1	0.276
actually	ah k sh l iy	2	0.3765
actually	ah k s l iy	1	0.367
actually	ay k sh l iy	1	0.217
actually	eh k sh ih	1	0.216
actually	eh k sh l iy	4	0.323
actually	uh k sh l iy	1	0.291
ad	ae d	4	0.19925
adam	ae dx ah m	1	0.333
adapting	ah d ae p t ih ng	1	0.642
add	ae d	2	0.353
add	ae dx	3	0.194466666666667
added	ae d en	1	0.229
added	ae dx eh d	1	0.364
added	ae dx eh dx	1	0.259
added	ae dx ih	1	0.228
added	ae dx ih d	3	0.246333333333333
added	ae dx ih dx	2	0.2605
addict	ae d ih k t	1	0.31
addict	ae dx ih k t	1	0.402
addicted	ah d ih k t ih d	1	0.468
addicted	ah d ih k t uh d	1	0.503
addicted	ih d ih k t ih d	2	0.5175
addicting	ih d ih k t iy ng	1	0.584
addictions	ah d ih k sh ih n sh	1	0.795
addicts	ae dx eh k s	1	0.598
addicts	ae dx ih k s	1	0.596
addicts	aen dx ih k s	1	0.56
adding	ae dx en	1	0.274
adding	ae dx ih ng	4	0.37325
addition	ah d ih sh en	2	0.407
addition	eh d ih sh ih n	1	0.471
addition	ih d ih sh ah n	1	0.472
addition	n ah d ih sh ah n	1	0.515
additional	ae d ih sh n el	1	0.655
additional	ah d ih sh ah n el	1	0.273
additional	d ih sh n el	1	0.284
additional	eh d ih sh n ah l	1	0.398
address	ae d r eh s	2	0.606
address	ah jh r eh s	1	0.375
address	eh d r eh s	1	0.412
address	ih jh r eh s	2	0.475
address	jh r eh s	1	0.343
addressed	ih jh r eh s	1	0.356
addressed	ih jh r eh s t	2	0.5795
adds	ae d s	1	0.169
adds	ae d z	2	0.369
adequate	ae dx eh k w ah t	1	0.431
adequate	ae dx eh k w uh dx	1	0.44
adequate	ae dx ey k w ah t	1	0.578
adequate	ae dx ih k uh tq	1	0.466
adequate	ae dx ih k w ih t	1	0.413
adequate	ae dx ih k w ih tq	1	0.579
aderal	ae dx er aa l	1	0.758
adjacent	ah jh ey s ah n t	2	0.5705
adjoining	ah jh oy nx ih ng	1	0.473
adjust	ah jh ah s t	2	0.6505
adjust	ih jh ah s	1	0.315
adjusted	ah jh ah s ih d	2	0.461
adjusted	ih jh ah s t ih d	1	0.418
adjusting	ah jh ah s t ih ng	2	0.4905
adjusting	ih jh ah s t iy ng	1	0.762
adjustment	ah jh ah s m ah n	1	0.445
adjustment	ah jh ah s m ahn tq	1	0.654
adjustment	jh ah s m ah n	1	0.441
adjusts	ah jh ah s t	1	0.573
administered	m ih nx ih s t er d	1	0.396
administration	ae m ihn ih s t r ey sh ah n	1	0.557
administration	ah m ih s t r ey sh ah n	1	1.01
administration	d m ih nx ih s ch r ey sh en	1	0.796
administration	eh n m eh nx ah s t r ey sh ah n	1	0.978
administration	ih d m ih nx ih s ch r ey sh ah n	1	0.974
administrative	ah d m ih n ih s t r ey dx ih v	1	0.615
administrative	ah eh d m ih n ih s ch r ey dx ih v	1	0.716
administrative	eh d m ih nx ah s ch r eh dx ih v	1	0.572
administrator	eh d m eh nx ih sh ch r ey dx er	1	0.758
administrator	eh m ih n ih sh ch r ey er	1	0.668
administrator	ih m m ih n ah s t r ey dx er	1	0.576
administrators	d m ih n ih sh ch r ey er z	1	0.489
administrators	eh d m ih nx ih s t r ey er z	1	0.712
administrators	ih d m ih nx ih sh ch r ey dx ah r z	1	0.848
admirable	ae d er m b ah l	1	0.525
admiration	aen p er ey sh ah n	1	0.569
admire	ah d m ay er	1	0.455
admire	ih d m ay er	2	0.3965
admired	eh b m aa er dx	1	0.357
admission	ae d m ih sh en	1	0.321
admit	ae m ih tq	1	0.315
admit	ah m ih t	1	0.316
admit	eh d m ih dx	1	0.363
admit	ih d m ih dx	1	0.341
admit	ih d m ih t	2	0.433
admit	ih d m ih tq	1	0.345
admit	m ih d	1	0.283
admit	m ih t	1	0.247
admit	uh n m ih tq	1	0.386
admits	eh d m ih t s	1	0.442
admits	ih g m ih t s	1	0.376
admitted	ae em m ih dx eh d	1	0.41
admitted	ih d m ih dx ih d	1	0.325
admitted	ih m ih dx ih	1	0.261
adolescence	ae dx el eh s ihn s	1	0.53
adolescence	ae dx el l eh s en s	1	0.859
adolescent	ae dh el eh s ih tq	1	0.51
adopt	ah d aa p	1	0.367
adopt	ah d aa p t	5	0.4118
adopt	eh d aa p t	1	0.318
adopt	ih d aa p t	1	0.478
adopted	ah d aa p t ih d	1	0.395
adopted	ah d aa p t ih dx	2	0.4525
adopted	ah d ao p t eh d	1	0.629
adopted	eh d aa p t eh d	1	0.608
adopted	ih d aa p t ih d	2	0.5275
adopting	ah d aa p t ih ng	4	0.424
adopting	ih d aa p t ey ng	1	0.537
adoption	ah d aa p sh ah n	6	0.633666666666667
adoption	ah d aa p sh ah nx	1	0.431
adoption	ah d aa p sh ih n	2	0.604
adoption	ah d aa p sh ih nx	1	0.533
adoption	eh d aa p sh eh n	1	0.47
adoption	ih d aa p sh ah n	1	0.598
adoptions	d aa p sh en s	1	0.58
adoptive	ih d aa p t ih v	1	0.428
adorable	ah d ow r ah b el	1	0.713
adorable	ih d ao r ah b el	1	0.514
adored	d ow r d	1	0.602
adriatico's	ih ch r ih aa dx ih k ow s	1	0.702
ads	ae z	1	0.266
adult	ae d ah l t	1	0.357
adult	ah d aa l t	1	0.334
adult	ah d aa l tq	1	0.349
adult	ah d ah l t	1	0.385
adult	ah d ao l tq	1	0.346
adult	ih d ah l t	1	0.41
adult	ih d ah l tq	2	0.378
adult	ih d ao l dx	1	0.438
adulthood	ah d ah l tq hh uh d	1	0.598
adulthood	uw d ah l t hh uh d	1	0.788
adults	ae d ah l t s	3	0.546
adults	ah d aa l t s	1	0.619
adults	ah d ah l t s	9	0.443666666666667
adults	eh d ah l s	1	0.425
adults	ih d ah l t s	1	0.427
adults	uh d ah l t s	1	0.417
advance	ae v ae n s	1	0.448
advance	eh d v ae n s	1	0.711
advance	ih d v ae n t s	2	0.5375
advanced	ae d v ae n s d	1	0.52
advanced	ih v ae n s	1	0.524
advancement	v ae n s m ah n	2	0.4785
advances	ih d v ae n s ih s	1	0.951
advances	ih d v aen s ih z	1	0.527
advantage	er d v ae nx ih jh	1	0.421
advantage	ih d f ae n ih ch	1	0.776
advantage	ih d v aen ah jh	1	0.366
advantage	ih d v ae n ih jh	1	0.61
advantage	ih d v ae nx eh jh	2	0.3605
advantage	ih d v ae nx ih jh	4	0.50475
advantage	ih v ae n ih jh	1	0.408
advantage	ih v ae nx eh jh	1	0.503
advantages	ih d v ae n ah zh eh s	1	0.705
advantages	ih d v ae nx iy jh ah z	1	0.897
adventure	ae d v eh n ch er	1	0.541
adventures	ae d v eh n ch er z	1	0.522
advertise	ae d v er t ay s	1	1.05
advertise	ae v er t ay z	2	0.6055
advertised	ae v er t ay s t	1	0.948
advertisement	ae d v er s m ah tq	1	0.753
advertisement	ae d v er t ay z m en tq	1	0.87
advertisement	ae v er t ay z m ah n t	1	0.675
advertisements	ae dx v r t ay z m ih n s	1	0.814
advertisements	ah d v er uh s m ah n t s	1	0.897
advertises	ae v er t ay z ih z	1	0.643
advertising	ae d v er t ay z ih ng	2	0.755
advertising	ae dx v er t ay z ih ng	1	0.784
advertising	ae v er t ay z ih ng	1	0.719
advice	ih d v ay s	1	0.731
advisor	ah d v ay z er	3	0.482333333333333
advisors	eh d v ay z er sh	1	0.841
advisory	eh d f ay z er iy	1	0.5
advocate	ae d v ih k ey t	1	0.636
advocate	ae v ah k ah tq	1	0.539
advocate	ae v ah k eh dx	1	0.498
advocating	ae d v ah k ey d ih ng	1	0.726
aerobics	eh r ow b ih k s	1	0.536
aeronautical	eh r ah nx aa t ih k el	1	0.605
aerospace	eh r ah s p ey s	1	0.874
aerospace	eh r ow s p ey s	2	0.711
affair	ah f eh r	4	0.31175
affect	ah f eh k	5	0.331
affect	ah f eh k t	1	0.323
affect	ih f eh k t	2	0.4045
affected	ah f ae k t ih d	1	0.463
affected	ah f eh k t ih d	8	0.453375
affected	eh f eh k d ih dx	1	0.533
affected	eh f eh k t ih dx	1	0.587
affecting	ah f eh k t ih ng	1	0.503
affecting	ih f eh k t ih n	1	0.409
affects	ae f eh k s	1	0.524
affects	ah f eh k s	3	0.367333333333333
affects	ah f eh k t s	1	0.588
affects	uh f eh k s	1	0.322
affiliated	ah f ih l iy dx ih d ah d	1	0.817
affiliated	ah f ih l iy ih	1	0.392
affiliation	f ih l ih ey sh ah n	1	0.547
affinity	ah f nx n ih dx iy	1	0.457
